"ANO";"Componente";"P_Explicado";"Base"
2006;"comp 45";0,234949002583676;1
2006;"comp 46";0,210046070571254;1
2006;"comp 47";0,199722579942679;1
2006;"comp 48";0,192897376166804;1
2006;"comp 49";0,186269266618128;1
2006;"comp 50";0,174883899410023;1
2006;"comp 51";0,166589563700389;1
2006;"comp 52";0,157360978284252;1
2006;"comp 53";0,14865053550141;1
2006;"comp 54";0,143932401111281;1
2006;"comp 55";0,135360766408929;1
2006;"comp 56";0,128154041404284;1
2006;"comp 57";0,120616191323526;1
2006;"comp 58";0,115737133095013;1
2006;"comp 59";0,105193781072694;1
2006;"comp 60";0,101563709842386;1
2006;"comp 61";0,0965019257763056;1
2006;"comp 62";0,0927528293760969;1
2006;"comp 63";0,0845726863799529;1
2006;"comp 64";0,0835333570868335;1
2006;"comp 65";0,0771928785172743;1
2006;"comp 66";0,0718328701645693;1
2006;"comp 67";0,0662729058779609;1
2006;"comp 68";0,0634728701041335;1
2006;"comp 69";0,0583798706551829;1
2006;"comp 70";0,0559886397855275;1
2006;"comp 71";0,0532121190763723;1
2006;"comp 72";0,0469592812958089;1
2006;"comp 73";0,0437085421861505;1
2006;"comp 74";0,0407772421058321;1
2006;"comp 75";0,0389197129450323;1
2006;"comp 76";0,0321495495028054;1
2006;"comp 77";0,0316614355507477;1
2006;"comp 78";0,0278656191482605;1
2006;"comp 79";0,026355837636823;1
2006;"comp 80";0,0243075083843503;1
2006;"comp 81";0,0203267375059053;1
2006;"comp 82";0,0197572651021146;1
2006;"comp 83";0,0184907152869177;1
2006;"comp 84";0,0164804524424041;1
2007;"comp 1";49,1256011945435;1
2007;"comp 2";6,20555653375269;1
2007;"comp 3";5,27939758171205;1
2007;"comp 4";3,26110318374065;1
2007;"comp 5";2,77559208711479;1
2007;"comp 6";2,4011406142033;1
2007;"comp 7";1,90264599238517;1
2007;"comp 8";1,80414505358611;1
2007;"comp 9";1,57254794631564;1
2007;"comp 10";1,41541529144255;1
2007;"comp 11";1,35933153496721;1
2007;"comp 12";1,20217891679411;1
2007;"comp 13";1,18917805665791;1
2007;"comp 14";1,1178326433878;1
2007;"comp 15";1,04868441570078;1
2007;"comp 16";0,981942075483955;1
2007;"comp 17";0,946291488040213;1
2007;"comp 18";0,864772554825872;1
2007;"comp 19";0,780333485948937;1
2007;"comp 20";0,767172286737155;1
2007;"comp 21";0,744510941872744;1
2007;"comp 22";0,707296611284124;1
2007;"comp 23";0,632382347674682;1
2007;"comp 24";0,595643197224991;1
2007;"comp 25";0,581890692172028;1
2007;"comp 26";0,540572303559811;1
2007;"comp 27";0,527388689783411;1
2007;"comp 28";0,519271752123728;1
2007;"comp 29";0,484769618905301;1
2007;"comp 30";0,441922967016105;1
2007;"comp 31";0,423270009980257;1
2007;"comp 32";0,419937155586536;1
2007;"comp 33";0,390947628107568;1
2007;"comp 34";0,369258429138507;1
2007;"comp 35";0,357522956339483;1
2007;"comp 36";0,34742323256744;1
2007;"comp 37";0,320010215850024;1
2007;"comp 38";0,314983105373584;1
2007;"comp 39";0,304111178271484;1
2007;"comp 40";0,279560104522681;1
2007;"comp 41";0,27373285326068;1
2007;"comp 42";0,26277592536223;1
2007;"comp 43";0,238167839183331;1
2007;"comp 44";0,227528667364032;1
2007;"comp 45";0,21676292184648;1
2007;"comp 46";0,210708863389089;1
2007;"comp 47";0,197088645808673;1
2007;"comp 48";0,194318577823704;1
2007;"comp 49";0,190513824984388;1
2007;"comp 50";0,174985393167463;1
2007;"comp 51";0,170614033165002;1
2007;"comp 52";0,159004583690429;1
2007;"comp 53";0,150966684039323;1
2007;"comp 54";0,145926658218461;1
2007;"comp 55";0,137344059575182;1
2007;"comp 56";0,131522603423336;1
2007;"comp 57";0,11987010803795;1
2007;"comp 58";0,116459917820289;1
