"Variável";"Ano";"Fator1";"Fator2";"Fator3";"Base"
"Emp_CNAE_G.8";2003;0,682003331565489;-0,164262807177875;0,017394416599809;1
"Emp_CNAE_G.80";2003;0,91641066577425;-0,0784218104989597;-0,0886451411205231;1
"Emp_CNAE_G.81";2003;0,948314998855555;-0,0903592236431402;0,0691122730410674;1
"Emp_CNAE_G.82";2003;0,971701426122837;-0,0678862934464614;-0,0893165570456484;1
"Emp_CNAE_G.84";2003;0,878126887721768;-0,178632248697123;0,266913557708983;1
"Emp_CNAE_G.85";2003;0,979144882721684;-0,0720830355928791;0,0578817480424371;1
"Emp_CNAE_G.86";2003;0,965036994172666;0,0124800981976689;0,151120604518378;1
"Emp_CNAE_G.87";2003;0,950765785380149;0,00891224553985583;0,135082632724531;1
"Emp_CNAE_G.88";2003;0,905457528812742;0,00706802683480497;0,124505136754137;1
"Emp_CNAE_G.9";2003;0,705927262640652;-0,206289511462779;-0,0165225575507866;1
"Emp_CNAE_G.90";2003;0,956301979847541;-0,0778029622421732;0,0557163364463951;1
"Emp_CNAE_G.91";2003;0,789375313283372;-0,35237274119233;0,185208826468442;1
"Emp_CNAE_G.92";2003;0,973616603477107;-0,0341407464280924;0,0871121947818188;1
"Emp_CNAE_G.93";2003;0,972026468821342;-0,0490142528306109;0,0886073369515297;1
"Emp_CNAE_G.94";2003;0,955434165904995;-0,0773012397847402;0,135741351585472;1
"Emp_CNAE_G.95";2003;0,967449135011158;-0,0516421716637286;0,0472375702399965;1
"Emp_CNAE_G.96";2003;0,967375616861298;-0,0918016877954536;0,111563757800547;1
"Emp_CNAE_G.97";2003;0,841844905557874;0,0204854657965374;0,105977960545058;1
"Emp_CNAE_G.99";2003;0,690045953403164;-0,410760179377179;0,153377574294673;1
"Exp_FOB_BR";2003;0,565334843284751;0,375446810622618;-0,204694065941644;1
"Exp_Kg";2003;-0,00402474580943838;0,324656241297309;-0,228858066620523;1
"Exp_Peso";2003;0,540043293910815;0,247991493023977;-0,117674829783037;1
"IMP_FOB_BR";2003;0,731495251211583;0,205525982413764;-0,226566377031478;1
"IMP_Kg";2003;-0,172671144003809;-0,194073998164741;-0,134083509936557;1
"IMP_Peso";2003;0,695218706731229;0,26018327003064;-0,131766067749292;1
"Consultorias";2003;0,980299483639733;-0,0725676511842312;-0,0603425968131358;1
"Massa_Salarial";2003;0,954956972894146;-0,191658406549495;-0,0462345106490967;1
"CBO_GG1";2003;0,923500014666808;-0,135622332011278;0,0274348311174281;1
"CBO_GG2";2003;0,939310788005426;-0,187710468736353;0,0853236085067243;1
"CBO_GG3";2003;0,947486552682619;-0,173319984141243;-0,0152648404713722;1
"CBO_GG4";2003;0,955143261837398;-0,159979415767978;0,0335750169816487;1
"CBO_GG5";2003;0,963850525384041;-0,151855005021756;0,0370701751085045;1
"CBO_GG6";2003;0,475785043239208;0,0620413831866457;0,411653735835054;1
"CBO_GG7";2003;0,953251582325131;-0,00851249132589372;-0,19473279266719;1
"CBO_GG8";2003;0,889932835231607;0,0881323775235796;-0,168163721824775;1
"CBO_GG9";2003;0,950060911470117;-0,0954275558196922;-0,0200868903628447;1
"CBO_GGNC";2003;0,71169496689929;-0,377086176351394;0,187179272034448;1
"PeD";2003;0,791629043191353;-0,162218363010362;-0,255546402132997;1
"Engenheiros";2003;0,91293093947084;-0,148242135021034;0,0219171233166526;1
"População";2003;0,938015612086722;-0,121349696123875;0,0689024962506614;1
"Idade_Parq_Ope";2004;0,335877708084564;-0,080176325341819;0,0572530161204026;1
"Capitais";2004;0,639245397703267;-0,3670903210566;0,214915593063123;1
"Universidades";2004;0,699738869185921;-0,378608508628515;0,062577505396908;1
"Cursos";2004;0,632015406697857;-0,338682006676991;0,046724112857492;1
"Graduated";2004;0,633564275409843;-0,34729329540006;0,0215952334690832;1
"Engenheiros_Grad";2004;0,720118885235744;-0,155079878061682;0,182727655135059;1
"Cursos_Eng";2004;0,785679185489334;-0,209926412116842;0,154150948552837;1
"Saude_Grad";2004;0,442197903883712;-0,20911583931717;-0,152681181997608;1
"Cursos_Saude";2004;0,469693721756421;-0,268213178777961;-0,0559908628127546;1
"Medicos_Grad";2004;0,742730295051586;-0,174425067101713;0,175531901334369;1
"Cursos_Med";2004;0,717049054396885;-0,362424607789028;0,184113706177508;1
"CompScience_Grad";2004;0,829130933657265;-0,0116590956362517;0,140531930759224;1
"Cursos_CS";2004;0,873973509016788;-0,165576637436756;0,116314822316837;1
"Tecnologia_Grad";2004;0,706546202441354;-0,134999664349028;0,045999910226271;1
"Cursos_Tec";2004;0,83366729858604;-0,229287902129853;0,0698569579643662;1
"PUB";2004;0,650173823150046;-0,221095519785034;0,236185743630979;1
"PUB.Prop.Tot";2004;0,323400839813694;-0,09443434966041;-0,0120507595677553;1
"QL_CNAE_G.1";2004;-0,564628639416587;0,130350198746706;0,467353754349001;1
"QL_CNAE_G.10";2004;-0,403924140343447;0,140580515370106;0,406933270293742;1
"QL_CNAE_G.11";2004;0,429749241486183;0,411743019198481;0,068966508135022;1
"QL_CNAE_G.12";2004;0,498711168302124;-0,0679271090566784;0,127502561721765;1
"QL_CNAE_G.13";2004;0,313655604479073;0,478198673050547;-0,178169284147707;1
